upuq  u-'puq
kiyingen  kI-jIn-'gen
nağra  naG-'ra
sunayğa  su-naj-'Ga
samağa  sa-ma-'Ga
añlaydiğanni  aN-Laj-dI-Gan-'nI
añlivélip  aN-LI-v@-'LIp
yégen  j@-'gen
alicoqa  a-LI-dZo-'qa
parañlar  pa-raN-'Lar
turuvalğinimiz  tu-ru-vaL-GI-nI-'mIz
doklatta  dok-Lat-'ta
sözlengini  s@'z-Len-gI-'nI
sahe  sa-'he
témisi  t@-mI-'sI
toqunuşup  to-qu-nu-'Sup
pikapniñ  pI-kap-'nIN
turuşumğa  tu-ru-Sum-'Ga
keynimdin  kej-nIm-'dIn
kaçitimğa  ka-tSI-tIm-'Ga
dümbilirimge  dym-bI-LI-rIm-'ge
boşraq  boS-'raq
qilişmaqta  qI-LIS-maq-'ta
şékéspérniñ  S@-k@s-p@r-'nIN
şahzadiniñ  Sah-za-dI-'nIN
eserliridin  e-ser-LI-rI-'dIn
filimler  fI-LIm-'Ler
qilinmidi  qI-LIn-mI-'dI
iqtsadiy  Iqt-sa-'dIj
tolğima  toL-GI-'ma
moskvaniñ  mosk-va-'nIN
tosno  tos-'no
ayroportida  aj-ro-por-tI-'da
mediniyitimizdin  me-dI-nI-jI-tI-mIz-'dIn
levsurux  Lev-su-'rux
élanlar  @-Lan-'Lar
çarviçilarğa  tSar-vI-tSI-Lar-'Ga
şehidiler  Se-hI-dI-'Ler
isyankarlar  Is-jan-kar-'Lar
tériqçiliqtin  t@-rIq-tSI-LIq-'tIn
boşiğan  bo-SI-'Gan
ehya  eh-'ja
rivayette  rI-va-jet-'te
sar'içon  sar-'I-'tSon
muessesilirige  mu-es-se-sI-LI-rI-'ge
tutqunlarni  tut-qun-Lar-'nI
élivélip  @-LI-v@-'LIp
xucintavniñ  xu-dZIn-tav-'nIN
sankit  san-'kIt
pitirburgda  pI-tIr-burg-'da
dunfu  dun-'fu
arilaşqanlarni  a-rI-LaS-qan-Lar-'nI
naümid  na-y-'mId
çiyen  tSI-'jen
yüzyigirme  jyz-jI-gIr-'me
dölitimizdin  d@'-LI-tI-mIz-'dIn
iranğa  I-ran-'Ga
döletlerde  d@'-Let-Ler-'de
köpiyivatidu  k@'-pI-jI-va-tI-'du
daşiçü  da-SI-'tSy
şyütañ  Sjy-'taN
moluq  mo-'Luq
üzümlük  y-zym-'Lyk
tozup  to-'zup
şéxil  S@-'xIL
israiliyiniñ  Is-ra-I-LI-jI-'nIN
şimaliğa  SI-ma-LI-'Ga
magizinida  ma-gI-zI-nI-'da
uliğa  u-LI-'Ga
cavabkarğa  dZa-vab-kar-'Ga
muddetsiz  mud-det-'sIz
qamaq  qa-'maq
hoquqidin  ho-qu-qI-'dIn
talla  taL-'La
baziridin  ba-zI-rI-'dIn
négatip  n@-ga-'tIp
tartidu  tar-tI-'du
xubéy  xu-'b@j
tiguy  tI-'guj
siyrilip  sIj-rI-'LIp
apette  a-pet-'te
port  port
ayiğini  a-jI-GI-'nI
iştinini  IS-tI-nI-'nI
qilivétidiken  qI-LI-v@-tI-dI-'ken
opératsiyige  o-p@-rat-sI-jI-'ge
ümüt  y-'myt
avéy  a-'v@j
çüçükbuya  tSy-tSyk-bu-'ja
öseleydiğan  @'-se-Lej-dI-'Gan
yéşil  j@-'SIL
yétiştürüşni  j@-tIS-ty-ryS-'nI
tavarlarniñ  ta-var-Lar-'nIN
sétiliş  s@-tI-'LIS
burjuaziyiniñ  bur-Zu-a-zI-jI-'nIN
tarqilişiğa  tar-qI-LI-SI-'Ga
akiniñ  a-kI-'nIN
modin  mo-'dIn
qilinğaniken  qI-LIn-Ga-nI-'ken
élançiliqi  @-Lan-tSI-LI-'qI
yillirida  jIL-LI-rI-'da
orundiki  o-run-dI-'kI
limba  LIm-'ba
tügünliriniñ  ty-gyn-LI-rI-'nIN
yoğinişi  jo-GI-nI-'SI
putniñ  put-'nIN
işşişini  IS-SI-SI-'nI
arman  ar-'man
radil  ra-'dIL
aşxanidikilerge  aS-xa-nI-dI-kI-Ler-'ge
xalat  xa-'Lat
tikküzüş  tIk-ky-'zyS
bostan  bos-'tan
baziridiki  ba-zI-rI-dI-'kI
tikküçi  tIk-ky-'tSI
emetniñ  e-met-'nIN
dukiniğa  du-kI-nI-'Ga
yürmeslikni  jyr-mes-LIk-'nI
belgileydu  beL-gI-Lej-'du
guañbav  gu-aN-'bav
mudir  mu-'dIr
éhtiyacdin  @h-tI-jadZ-'dIn
qutupni  qu-tup-'nI
benguñtiñi  ben-guN-tI-'NI
studéntlirini  stud-@nt-LI-rI-'nI
işlidi  IS-LI-'dI
kördiki  k@'r-dI-'kI
herbiylerni  her-bIj-Ler-'nI
polşiğa  poL-SI-'Ga
urugvayliq  u-rug-vaj-'LIq
başliridin  baS-LI-rI-'dIn
rayonlardin  ra-jon-Lar-'dIn
aşxabardqa  aS-xab-ard-'qa
aşxabadta  aS-xa-bad-'ta
yémekliklerge  j@-mek-LIk-Ler-'ge
rafsancani  raf-san-dZa-'nI
téhranda  t@h-ran-'da
namayişçi  na-ma-jIS-'tSI
qutratqanliqini  qut-rat-qan-LI-qI-'nI
iştrakçiliridin  IStraktSILIrIdIn
bayanlarni  ba-jan-Lar--ar-'nI
söyündürgen  s@'-jyn-dyr-'gen
xiyalimğa  xI-ja-LIm-'Ga
meşrepniñ  meS-rep-'nIN
daribeg  da-rI-'beg
kölbégi  k@'L-b@-'gI
başqurğuçiliri  baS-qur-Gu-tSI-LI-'rI
ğalib  Ga-'LIb
çolpanğa  tSoL-pan-'Ga
endizisini  en-dI-zI-sI-'nI
köçürüp  k@'-tSy-'ryp
hésablidi  h@-sab-LI-'dI
siğmaydiğan  sIG-maj-dI-'Gan
söletvazliq  s@'-Let-vaz-'LIq
şuğullinişqimu  Su-GuL-LI-nIS-qI-'mu
kemsitip  kem-sI-'tIp
ümüdsizliniş  y-myd-sIz-LI-'nIS
çomulañma  tSo-mu-LaN-'ma
qelemde  qe-Lem-'de
elemge  e-Lem-'ge
qoşunliriğa  qo-Sun-LI-rI-'Ga
muşavir  mu-Sa-'vIr
hollivodtiki  hoL-LI-vod-tI-'kI
çolpanniñ  tSoL-pan-'nIN
öyidiki  @'-jI-dI-'kI
olturuşta  oL-tu-ruS-'ta
içipla  I-tSIp-'La
neşimu  ne-SI-'mu
xocayinlar  xo-dZa-jIn-'Lar
süpitige  sy-pI-tI-'ge
işenç  IS-'entS
passajirlar  pas-sa-ZIr-'Lar
semiymilik  se-mIj-mI-'LIk
bixestelik  bI-xes-te-'LIk
sözmusöz  s@'z-mu-'s@'z
cümlimucümle  dZym-LI-mu-dZym-'Le
tikenlik  tI-ken-'LIk
ğol'östeñ  GoL-'@'s-'teN
memet'imin  me-met-'I-'mIn
roziniñ  ro-zI-'nIN
qoyi  qo-'jI
talmu  taL-'mu
qoza  qo-'za
tuğdi  tuG-'dI
börini  b@'-rI-'nI
orivaldi  o-rI-vaL-'dI
söñikinila  s@'-NI-kI-nI-'La
şirketlerniñ  SIr-ket-Ler-'nIN
matorliriğa  ma-tor-LI-rI-'Ga
qaçilaşta  qa-tSI-LaS-'ta
komzektiki  kom-zek-tI-'kI
içelmey  I-tSeL-'mej
yiraqtin  jI-raq-'tIn
şéğil  S@-'GIL
komzekke  kom-zek-'ke
içkenliki  ItS-ken-LI-'kI
qatnişiptu  qat-nI-SIp-'tu
nuqtilirini  nuq-tI-LI-rI-'nI
axbaratçilarmu  ax-ba-rat-tSI-Lar-'mu
başliqliri  baS-LIq-LI-'rI
işdaşliri  IS-daS-LI-'rI
éri  @-'rI
rémontçilar  r@m-ont-tSI-'Lar
essalamueleykum  es-sa-La-mu-e-Lej-'kum
essalam  es-sa-'Lam
qedir  qe-'dIr
körünmeysiz  k@'-ryn-mej-'sIz
séğindim  s@-GIn-'dIm
silerni  sI-Ler-'nI
boluşuñlarni  bo-Lu-SuN-Lar-'nI
kélişiñlarni  k@-LI-SIN-Lar-'nI
körüşkenlikimdin  k@'-ryS-ken-LI-kIm-'dIn
xuşalmen  xu-SaL-'men
kelginiñizge  keL-gI-nI-NIz-'ge
kelginiñlar  keL-gI-nIN-'Lar
bolğanliqimdin  boL-Gan-LI-qIm-'dIn
sayahitiñlarniñ  sa-ja-hI-tIN-Lar-'nIN
tilekdaşmen  tI-Lek-daS-'men
uçrişişim  utS-rI-SI-'SIm
minnetdarmen  mIn-net-dar-'men
teşrip  teS-'rIp
qilğiniñizğa  qIL-GI-nI-NIz-'Ga
işiñiz  I-SI-'NIz
téléfonda  t@-L@-fon-'da
izdisiñiz  Iz-dI-sI-'NIz
salam  sa-'Lam
kélişiñizni  k@-LI-SI-NIz-'nI
tileymen  tI-Lej-'men
qilmañ  qIL-'maN
çüşendürginiñizge  tSy-Sen-dyr-gI-nI-NIz-'ge
berginiñizge  ber-gI-nI-NIz-'ge
işiñizni  I-SI-NIz-'nI
éliviliñ  @-LI-vI-'LIN
qilmidim  qIL-mI-'dIm
rencimeñ  ren-dZI-'meN
küniñizge  ky-nI-NIz-'ge
mubarek  mu-ba-'rek
ailiñizge  a-I-LI-NIz-'ge
qurğaysiz  qur-Gaj-'sIz
toyiñizğa  to-jI-NIz-'Ga
tileymiz  tI-Lej-'mIz
sözlisem  s@'z-LI-'sem
çüşinelemdikensiz  tSy-SI-ne-Lem-dI-ken-'sIz
ulandi  u-Lan-'dI
añliyalmidim  aN-LI-jaL-mI-'dIm
ünlükrek  yn-Lyk-'rek
sözlişivatimen  s@'z-LI-SI-va-tI-'men
alaqilişay  a-La-qI-LI-'Saj
poçtixanida  potS-tI-xa-nI-'da
dostumğa  dos-tum-'Ga
atkértka  at-k@rt-'ka
tapşuruvalğuçiniñ  tap-Su-ru-vaL-Gu-tSI-'nIN
adrésini  ad-r@-sI-'nI
apirayli  a-pI-raj-'LI
bölümi  b@'-Ly-'mI
köznekke  k@'z-nek-'ke
éliñ  @-'LIN
çişim  tSI-'SIm
ağrivatidu  aG-rI-va-tI-'du
ensirimeñ  en-sI-rI-'meN
élişivatdu  @-LI-SI-vat-'du
süydükni  syj-dyk-'nI
tekşürtmekçi  tekSyrtmektSI
kökrikiñizni  k@'k-rI-kI-NIz--'nI
réntigénda  r@n-tI-g@n-'da
alduruñ  aL-du-'ruN
neticisige  ne-tI-dZI-sI-'ge
saqiyişiñizğa  sa-qI-jI-SI-NIz-'Ga
bélitini  b@-LI-tI-'nI
heptilik  hep-tI-'LIk
béletler  b@-Let-'Ler
sétilip  s@-tI-'LIp
yaponğa  ja-pon-'Ga
tokyoda  tok-jo-'da
turğandin  tur-Gan-'dIn
aviatsiyisiniñ  a-vI-at-sI-jI-sI-'nIN
ayropilaniğa  aj-ro-pI-La-nI-'Ga
qaytimen  qaj-tI-'men
keçürsiz  ke-tSyr-'sIz
bélitiñiz  b@-LI-tI-'NIz
qayturuşqa  qaj-tu-ruS-'qa
boyumlarni  bo-jum-Lar-'nI
texsige  tex-sI-'ge
keçürüñ  ke-tSy-'ryN
piçiqini  pI-tSI-qI-'nI
somka  som-'ka
evetişke  e-ve-tIS-'ke
olturimen  oL-tu-rI-'men
uçidu  u-tSI-'du
nicat  nI-'dZat
ependim  e-pen-'dIm
vagondiki  va-gon-dI-'kI
izdeydiken  Iz-dej-dI-'ken
taqliriñizni  taq-LI-rI-NIz-'nI
teyyarliniñ  tej-jar-LI-'nIN
yataqtin  ja-taq-'tIn
xelq'araliq  xeLq-'a-ra-'LIq
bazarni  ba-zar-'nI
mulazimitimiz  mu-La-zI-mI-tI-'mIz
kiyimiñizni  kI-jI-mI-NIz-'nI
işkapiğa  IS-ka-pI-'Ga
qoysiñiz  qoj-sI-'NIz
yuğuzidiğan  ju-Gu-zI-dI-'Gan
xaltisiğa  xaL-tI-sI-'Ga
séliñ  s@-'LIN
qur  qur
kastyumni  kastjumnI
almaymiz  aL-maj-mI-'z
töleysiz  t@'-Lej-'sIz
yuyup  ju-'jup
tizimliki  tI-zIm-LI-'kI
buyritiñ  buj-rI-'tIN
türümlirini  ty-rym-LI-rI-'nI
baqay  ba-'qaj
asare  a-sa-'re
etiqilirini  e-tI-qI-LI-rI-'nI
ikiskursiye  I-kIs-kur-sI-'je
ötkünçisi  @'t-kyn-tSI-'sI
çüşüñlar  tSy-SyN-'Lar
muziyni  mu-zIj-'nI
retke  ret-'ke
tizilip  tI-zI-'LIp
ispati  Is-pa-'tI
murasim  mu-ra-'sIm
kiyimlirini  kI-jIm-LI-rI-'nI
axirlaşqanda  a-xIr-LaS-qan-'da
çiqiñlar  tSI-qIN-'Lar
rijissor  rI-ZIs-'sor
pirsonajlar  pIr-so-naZ-'Lar
çolpanlar  tSoL-pan-'Lar
resimlerdin  re-sIm-Ler-'dIn
sétivalimen  s@-tI-va-LI-'men
barayli  ba-raj-'LI
botulka  bo-tuL-'ka
qiyami  qI-ja-'mI
alimen  a-LI-'men
markidiki  mar-kI-dI-'kI
içişke  I-tSIS-'ke
yüenlik  jy-en-'LIk
boyumiğa  bo-ju-mI-'Ga
érişisiz  @-rI-SI-'sIz
toxtatqandin  tox-tat-qan-'dIn
kétisiz  k@-tI-'sIz
çüşendürgenlikiñizge  tSy-Sen-dyr-gen-LI-kI-NIz-'ge
dokturni  dok-tur-'nI
allahniñ  aL-Lah-'nIN
rehmiti  reh-mI-'tI
nahayti  na-haj-'tI
aileñdikilerniñ  a-I-LeN-dI-kI-Ler-'nIN
patraq  pat-'raq
dölitimizge  d@'-LI-tI-mIz-'ge
qilişiñlarni  qI-LI-SIN-Lar-'nI
elçixanisi  eL-tSI-xa-nI-'sI
kütiviliş  ky-tI-vI-'LIS
yiğilişi  jI-GI-LI-'SI
ötküzmekçi  @'t-kyz-mek-'tSI
putbul  put-'buL
ötküzülidu  @'t-ky-zy-LI-'du
mestanisi  mes-ta-nI-'sI
körüşüñ  k@'-ry-'SyN
cuñguda  dZuN-gu-'da
cuñguğa  dZuN-gu-'Ga
körüşüñlarni  k@'-ry-SyN-Lar-'nI
işlitidiğan  IS-LI-tI-dI-'Gan
lazimetlikler  La-zI-met-LIk-'Ler
memuri  me-mu-'rI
hüccetliri  hydZ-dZet-LI-'rI
kompyutérdin  komp-ju-t@r-'dIn
bésilip  b@-sI-'LIp
küçimizniñ  ky-tSI-mIz-'nIN
belgilimiler  beL-gI-LI-mI-'Ler
tölep  t@'-'Lep
alaqilişiñ  a-La-qI-LI-'SIN
yarilanmaptu  ja-rI-Lan-map-'tu
hadisini  ha-dI-sI-'nI
suğurta  su-Gur-'ta
şirkitige  SIr-kI-tI-'ge
töletküzüñ  t@'-Let-ky-'zyN
rimont  rIm-'ont
oñşitiñ  oN-SI-'tIN
töley  t@'-'Lej
sélişturuvatimiz  s@-LIS-tu-ru-va-tI-'mIz
işiniñki  I-SI-nIN-'kI
melumatida  me-Lu-ma-tI-'da
çüşürüşni  tSy-Sy-ryS-'nI
izdişimiz  Iz-dI-SI-'mIz
epsus  ep-'sus
malni  maL-'nI
malniñ  maL-'nIN
çatiqiniñ  tSa-tI-qI-'nIN
bayqiduq  baj-qI-'duq
yeşikni  je-SIk-'nI
açqandin  atS-qan-'dIn
cedveldiki  dZed-veL-dI-'kI
ziyinimizni  zI-jI-nI-mIz-'nI
ikisport  I-kIs-'port
alğuçi  aL-Gu-'tSI
çarşenbe  tSar-Sen-'be
aprél  ap-'r@L
sintebér  sIn-te-'b@r
ayliri  aj-LI-'rI
klassik  kLas-'sIk
muzikisi  mu-zI-kI-'sI
çüşendüüş  tSy-Sen-dy-'yS
maqalide  ma-qa-LI-'de
tülii  ty-LI-'I
güzelliki  gy-zeL-LI-'kI
ehmiyiti  eh-mI-jI-'tI
méğizliq  m@-GIz-'LIq
ammibab  am-mI-'bab
çüşendüülgen  tSy-Sen-dy-yL-'gen
birqisim  bIr-qI-'sIm
atalğularniñ  a-taL-Gu-Lar-'nIN
atilşini  a-tIL-SI-'nI
silerniñmu  sI-Ler-nIN-'mu
ebceşlişip  eb-dZeS-LI-'SIp
sözlerni  s@'z-Ler-'nI
bermeslikiñlarni  ber-mes-LI-kIN-Lar-'nI
ataşni  a-taS-'nI
özgertişñlarni  @'zgertISNLarnI
islamdiki  Is-Lam-dI-'kI
mizaniniñ  mI-za-nI-'nIN
atilişi  a-tI-LI-'SI
ibadet  I-ba-'det
qanunsizliqniñ  qa-nun-sIz-LIq-'nIN
şerhide  Ser-hI-'de
ipadilinişi  I-pa-dI-LI-nI-'SI
esirge  e-sIr-'ge
unvérsal  un-v@r-'saL
xelq'arada  xeLq-'a-ra-'da
yiğinlirini  jI-GIn-LI-rI-'nI
parçidin  par-tSI-'dIn
maqalilirini  ma-qa-LI-LI-rI-'nI
janir  Za-'nIr
uslup  us-'Lup
bedii  be-dI-'I
edebi  e-de-'bI
mucessem  mu-dZes-'sem
qamusidur  qa-mu-sI-'dur
xocidek  xo-dZI-'dek
mediniyiti  me-dI-nI-jI-'tI
tumurida  tu-mu-rI-'da
millitimizni  mIL-LI-tI-mIz-'nI
mezhepke  mez-hep-'ke
uruqlirini  u-ruq-LI-rI-'nI
qaçanğiçe  qa-tSan-GI-'tSe
sérip  s@-'rIp
aqquzuş  aq-qu-'zuS
purutuş  pu-ru-'tuS
horlanduruş  hor-Lan-du-'ruS
homul  ho-'muL
usullar  u-suL-'Lar
zörüriyetke  z@'-ry-rI-jet-'ke
işlitilidu  IS-LI-tI-LI-'du
bağçida  baG-tSI-'da
qiyinzarliq  qI-jIn-zar-'LIq
teñge  teN-'ge
yopurmaqliq  jo-pur-maq-'LIq
suvadan  su-va-'dan
şemşatlar  Sem-Sat-'Lar
boy  boj
tériki  t@-rI-'kI
şemşat  Sem-'Sat
sapiom  sa-pI-'om
léndira  L@n-dI-'ra
ermidon  er-mI-'don
mecnuntallar  medZ-nun-taL-'Lar
çoqqisidiki  tSoq-qI-sI-dI-'kI
közlerni  k@'z-Ler-'nI
çaqnitidiğan  tSaq-nI-tI-dI-'Gan
cir  dZIr
şavqunluq  Sav-qun-'Luq
şarqiratma  Sar-qI-rat-'ma
şat  Sat
resimlik  re-sIm-'LIk
jornal  Zor-'naL
pilastinkiliri  pI-Las-tIn-kI-LI-'rI
télévizor  t@-L@-vI-'zor
sin  sIn
qoyğu  qoj-'Gu
taşqinliq  taS-qIn-'LIq
kutupxanini  ku-tup-xa-nI-'nI
aylandim  aj-Lan-'dIm
qanuniyetsiz  qa-nu-nI-jet-'sIz
siyiş  sI-'jIS
ağritip  aG-rI-'tIp
körülse  k@'-ryL-'se
hacettur  ha-dZet-'tur
yésivélek  j@-sI-v@-'Lek
küde  ky-'de
köktatlarni  k@'k-tat-Lar-'nI
toğrap  toG-'rap
çarvilarğa  tSar-vI-Lar-'Ga
kélogramdin  k@-Log-ram-'dIn
kurdlar  kurdLar
öre  @'-'re
mañalmasliqiğa  ma-NaL-mas-LI-qI-'Ga
gén  g@n
kemtüklük  kem-tyk-'Lyk
boşluqidin  boS-Lu-qI-'dIn
musape  mu-sa-'pe
herketlinip  her-ket-LI-'nIp
ekis  e-'kIs
herketlenseñ  her-ket-Len-'seN
herterepniñ  her-te-rep-'nIN
massisi  mas-sI-'sI
teñpuñ  teN-'puN
bayqaysen  baj-qaj-'sen
tuğuluş  tu-Gu-'LuS
qériş  q@-'rIS
ağriş  aG-'rIS
béyiş  b@-'jIS
yoqsulluq  joq-suL-'Luq
husul  hu-'suL
yarişiş  ja-rI-'SIS
uruşuş  u-ru-'SuS
salatti  sa-Lat-'tI
yaliñaç  ja-LI-'NatS
bedinige  be-dI-nI-'ge
eyminip  ej-mI-'nIp
kökrikidiki  k@'k-rI-kI-dI-'kI
göşler  g@'S-'Ler
béliqidek  b@-LI-qI-'dek
sekrimekte  sek-rI-mek-'te
hakimbeg  ha-kIm-'beg
yardemge  jar-dem-'ge
evetkendek  e-vet-ken-'dek
kort  kort
şalğut  SaL-'Gut
çéqir  tS@-'qIr
üjmidek  yZ-mI-'dek
kespçanliq  kesptSanLIq
halitiñizni  ha-LI-tI-NIz--'IznI
caza  dZa-'za
nege  ne-'ge
bérişnimu  b@-rIS-nI-'mu
uqmaydu  uq-maj-'du
hedisila  he-dI-sI-'La
bilcirlaydu  bIL-dZIr-Laj-'du
tüzitidu  ty-zI-tI-'du
qoyulsa  qo-juL-'sa
xiyanet  xI-ja-'net
edebsiz  e-deb-'sIz
bolmasliq  boL-mas-'LIq
mobil  mo-'bIL
çörisi  tS@'-rI-'sI
zinnetlengenidi  zIn-net-Len-ge-nI-'dI
tapsam  tap-'sam
kül'öteñge  kyL-'@'-teN-'ge
yézivaldim  j@-zI-vaL-'dIm
xoçyu  xotS-'ju
qozğiliñini  qoz-GI-LI-NI-'nI
üçburcek  ytS-bur-'dZek
ormanliq  or-man-'LIq
muhebbetmu  mu-heb-bet-'mu
bendiler  ben-dI-'Ler
arsida  ar-sI-'da
knisléy  knIs-'L@j
vood  vo-'od
halifaks  ha-LIf-'aks
sekrep  sek-'rep
taxtisini  tax-tI-sI-'nI
öñtürüp  @'N-ty-'ryp
uruqlarni  u-ruq-Lar-'nI
qilivétidu  qI-LI-v@-tI-'du
xeverler  xe-ver-'Ler
sétivalmay  s@-tI-vaL-'maj
yérini  j@-rI-'nI
ténno  t@n-'no
soiko  so-I-'ko
text  text
varisi  va-rI-'sI
şotokuni  So-to-ku-'nI
yürgüzgen  jyr-gyz-'gen
çiqp  tSIqp
misriğa  mIs-rI-'Ga
qoğdaydiğan  qoG-daj-dI-'Gan
perişte  pe-rIS-'te
par  par
vaañ  va-'aN
zerde  zer-'de
qaynap  qaj-'nap
biliñizge  bI-LI-NIz-'ge
olturdiğanğa  oL-tur-dI-Gan-'Ga
yastuqtin  jas-tuq-'tIn
tikiviliñ  tI-kI-vI-'LIN
milis  mI-'LIs
olturuşi  oL-tu-ru-'SI
qumulniñ  qu-muL-'nIN
qolaşmiğanla  qo-LaS-mI-Gan-'La
arilişişqa  a-rI-LI-SIS-'qa
devrlerde  devrLerde
tenasiyxiye  te-na-sIj-xI--'xIje
sahesidimu  sa-he-sI-dI-'mu
étidu  @-tI-'du
resvaniñ  res-va-'nIN
edpini  ed-pI-'nI
bermisem  ber-mI-'sem
kitey  kI-'tej
mislisiz  mIs-LI-'sIz
intiliş  In-tI-'LIS
tépişqa  t@-pIS-'qa
aldiritidu  aL-dI-rI-tI-'du
pnsit  pnsIt
kilimnit  kI-LIm-'nIt
yubifniñ  ju-bIf-'nIN
ordisida  or-dI-sI-'da
gérmplazma  g@rmpLazma
qoğdaşni  qoG-daS-'nI
toğrisidiky  toG-rI-sId-'Ikj
éytayli  @j-taj-'LI
kohlérniñ  koh-L@r-'nIN
mérkilniñkidin  m@r-kIL-nIN-kI-'dIn
görge  g@'r-'ge
sañgiliğan  saN-gI-LI-'Gan
sörep  s@'-'rep
digende  dI-gen-'de
nizam  nI-'zam
sstémisini  sst@-mI-sI-'nI
xurasanğa  xu-ra-san-'Ga
pérsiyidiki  p@r-sI-jI-dI-'kI
sefeviyler  se-fe-vIj-'Ler
ismayil  Is-ma-'jIL
soquşqan  so-quS-'qan
ciñni  dZIN-'nI
çüşengeçke  tSy-Sen-getS-'ke
héçnme  h@tSn-'me
başqurulmiğaçqa  baS-qu-ruL-mI-GatS-'qa
çöpler  tS@'p-'Ler
kömürge  k@'-myr-'ge
cesetlirini  dZe-set-LI-rI-'nI
eslidi  es-LI-'dI
senyicoñgoñ  sen-jI-dZoN-'goN
çiñxuatoñfañ  tSIN-xu-a-toN-'faN
zicyañçyé  zIdZ-jaNtS-'j@
cinnyuvnéñyüen  dZInnjuvn@Njyen
hebbe  heb-'be
bahniñ  bah-'nIN
xususiyiti  xu-su-sI-jI-'tI
acizliqni  a-dZIz-LIq-'nI
boin  bo-'In
signal  sIg-'naL
kirgüzülidu  kIr-gy-zy-LI-'du
oğulniñ  o-GuL-'nIN
vucudida  vu-dZu-dI-'da
lehze  Leh-'ze
gav  gav
bérnxard  b@rnxard
şvétsiyilik  Sv@t-sI-jI-'LIk
karlgirén  karL-gI-'r@n
yüvénşéncü  jy-v@n-S@n-'dZy
lüçañçini  Ly-tSaN-tSI-'nI
ulğiyişi  uL-GI-jI-'SI
gülayim  gy-La-'jIm
boğçsni  boGtS-'snI
tügdi  tyg-'dI
lapasta  La-pas-'ta
otmu  ot-'mu
şuan  Su-'an
arlap  ar-'Lap
yéñ'avat  j@N-'a-'vat
mektipi  mek-tI-'pI
koriyiniñ  ko-rI-jI-'nIN
daévo  da-@-'vo
pikapini  pI-ka-pI-'nI
parijliqlar  pa-rIZ-LIq-'Lar
öyliridin  @'j-LI-rI-'dIn
koçilarğa  ko-tSI-Lar-'Ga
tikti  tIk-'tI
toquydiğan  to-quj-dI-'Gan
igirişte  I-gI-rIS-'te
işlitilmekte  IS-LI-tIL-mek-'te
aqyar  aq-'jar
çégridaş  tS@g-rI-'daS
koylarda  koj-Lar-'da
hisip  hI-'sIp
doğap  do-'Gap
leñpuñ  LeN-'puN
tartqusi  tart-qu-'sI
betlik  bet-'LIk
fréudzmçi  fr@udzmtSI
boluvaldi  bo-Lu-vaL--'LdI
parañliri  pa-raN-LI-'rI
hemcör  hem-'dZ@'r
şérik  S@-'rIk
tapqinidin  tap-qI-nI-'dIn
xuşaldek  xu-SaL-'dek
aramilarniñ  a-ra-mI-Lar-'nIN
fébqa  f@b-'qa
çoqunidiğan  tSo-qu-nI-dI-'Gan
evliyasi  ev-LI-ja-'sI
ibadetxana  I-ba-det-xa-'na
éukld  @ukLd
grétsiye  gr@t-sI-'je
etritidiki  et-rI-tI-dI-'kI
tamaqxanisiniñ  ta-maq-xa-nI-sI-'nIN
igilimekte  I-gI-LI-mek-'te
tigişlik  tI-gIS-'LIk
orek  o-'rek
kolaydu  ko-Laj-'du
ögetsiñiz  @'-get-sI-'NIz
yétişqa  j@-tIS-'qa
könüşi  k@'-ny-'SI
norvégiyiniñ  nor-v@-gI-jI-'nIN
arösund  a-r@'s-'und
yataq  ja-'taq
beşçe  beS-'tSe
küyküy  kyj-'kyj
maqalisde  ma-qa-LIs-'de
küysöyer  kyj-s@'-'jer
orkéstiri  or-k@s-tI-'rI
pyoñyañda  pjoN-jaN-'da
vañléçüen  vaN-L@-tSy-'en
ammiğa  am-mI-'Ga
testiq  tes-'tIq
yolyoruqi  joL-jo-ru-'qI
heykelniñ  hej-keL-'nIN
sirti  sIr-'tI
ecepmu  e-dZep-'mu
térige  t@-rI-'ge
ikenğu  I-ken-'Gu
beşyüz  beS-'jyz
köçetzarliqtin  k@'-tSet-zar-LIq-'tIn
meczup  medZ-'zup
tuğqanidi  tuG-qa-nI-'dI
ayalim  a-ja-'LIm
pixxide  pIx-xI-'de
külüvetti  ky-Ly-vet-'tI
tiyatirniñ  tI-ja-tIr-'nIN
rijéssori  rI-Z@s-so-'rI
çiñvéy  tSIN-'v@j
tgris  tgrIs
cinféñ  dZIn-'f@N
fobés  fo-'b@s
jurnili  Zur-nI-'LI
cuñgodiki  dZuN-go-dI-'kI
zöhuriddin  z@'-hu-rId-'dIn
cumhuryitiniñ  dZum-hur-jI-tI-'nIN
ferğane  fer-Ga-'ne
suxdeş  sux-'deS
ubirmongan  u-bIr-mon-'gan
sérotniñ  s@-rot-'nIN
romani  ro-ma-'nI
hayatqa  ha-jat-'qa
veqelik  ve-qe-'LIk
tuñvuniñ  tuN-vu-'nIN
fuydéğa  fuj-d@-'Ga
yünnen  jyn-'nen
guycudiki  guj-dZu-dI-'kI
menler  men-'Ler
topiliñini  to-pI-LI-NI-'nI
basturuşqa  bas-tu-ruS-'qa
çüşürüldi  tSy-Sy-ryL-'dI
ehvallardin  eh-vaL-Lar-'dIn
börikiñiz  b@'-rI-kI-'NIz
kerülen  ke-ry-'Len
yaylosiğa  jaj-Lo-sI-'Ga
